node1	label	node2	id
Q155472	PRX_ID_SPL_SET_ID	"782bcaf4-0aa4-4527-b36f-d350ceb95637"	Q155472-PRX_ID_SPL_SET_ID-"782bcaf4-0aa4-4527-b36f-d350ceb95637"-0000
Q155472	PRX_ID_SPL_SET_ID	"79a3744e-def4-45f5-ac85-ffec57973904"	Q155472-PRX_ID_SPL_SET_ID-"79a3744e-def4-45f5-ac85-ffec57973904"-0000
Q155472	PRX_ID_SPL_SET_ID	"79fc164a-9751-48b5-997f-897139edbc9a"	Q155472-PRX_ID_SPL_SET_ID-"79fc164a-9751-48b5-997f-897139edbc9a"-0000
Q155472	PRX_ID_SPL_SET_ID	"7b3fbdc9-d7e0-498f-a52d-e8a6b34f4a1f"	Q155472-PRX_ID_SPL_SET_ID-"7b3fbdc9-d7e0-498f-a52d-e8a6b34f4a1f"-0000
Q155472	PRX_ID_SPL_SET_ID	"7b4ecaf9-e84c-4660-9cd1-65a238efd8a8"	Q155472-PRX_ID_SPL_SET_ID-"7b4ecaf9-e84c-4660-9cd1-65a238efd8a8"-0000
Q155472	PRX_ID_SPL_SET_ID	"7b7dd683-78d0-468e-b1c9-e5b212a19c9a"	Q155472-PRX_ID_SPL_SET_ID-"7b7dd683-78d0-468e-b1c9-e5b212a19c9a"-0000
Q155472	PRX_ID_SPL_SET_ID	"7cb9f284-8175-4679-b846-145dc604e2c0"	Q155472-PRX_ID_SPL_SET_ID-"7cb9f284-8175-4679-b846-145dc604e2c0"-0000
Q155472	PRX_ID_SPL_SET_ID	"7dc76af7-342f-3d3b-e053-2a91aa0a0969"	Q155472-PRX_ID_SPL_SET_ID-"7dc76af7-342f-3d3b-e053-2a91aa0a0969"-0000
Q155472	PRX_ID_SPL_SET_ID	"7dc7e4f0-04ee-54ef-e053-2991aa0ae7f3"	Q155472-PRX_ID_SPL_SET_ID-"7dc7e4f0-04ee-54ef-e053-2991aa0ae7f3"-0000
Q155472	PRX_ID_SPL_SET_ID	"7dcc10b8-c71e-13be-e053-2a91aa0abe91"	Q155472-PRX_ID_SPL_SET_ID-"7dcc10b8-c71e-13be-e053-2a91aa0abe91"-0000
Q155472	PRX_ID_SPL_SET_ID	"7dcc6802-acae-aba1-e053-2991aa0adb70"	Q155472-PRX_ID_SPL_SET_ID-"7dcc6802-acae-aba1-e053-2991aa0adb70"-0000
Q155472	PRX_ID_SPL_SET_ID	"7fa25f10-29e0-4162-81a8-9d2e03054ded"	Q155472-PRX_ID_SPL_SET_ID-"7fa25f10-29e0-4162-81a8-9d2e03054ded"-0000
Q155472	PRX_ID_SPL_SET_ID	"8478a05f-38fd-412d-af49-69a73a787c8f"	Q155472-PRX_ID_SPL_SET_ID-"8478a05f-38fd-412d-af49-69a73a787c8f"-0000
Q155472	PRX_ID_SPL_SET_ID	"85cdc21e-6dbc-4559-9c30-bc93fd21045c"	Q155472-PRX_ID_SPL_SET_ID-"85cdc21e-6dbc-4559-9c30-bc93fd21045c"-0000
Q155472	PRX_ID_SPL_SET_ID	"861b145f-ede0-cb0f-e053-2991aa0aa34d"	Q155472-PRX_ID_SPL_SET_ID-"861b145f-ede0-cb0f-e053-2991aa0aa34d"-0000
Q155472	PRX_ID_SPL_SET_ID	"87b4f655-2327-49e5-887c-35f058241c62"	Q155472-PRX_ID_SPL_SET_ID-"87b4f655-2327-49e5-887c-35f058241c62"-0000
Q155472	PRX_ID_SPL_SET_ID	"8841770a-ab65-4907-b036-e2eaca982411"	Q155472-PRX_ID_SPL_SET_ID-"8841770a-ab65-4907-b036-e2eaca982411"-0000
Q155472	PRX_ID_SPL_SET_ID	"88e299ec-1915-4d86-bf02-499b30ee228c"	Q155472-PRX_ID_SPL_SET_ID-"88e299ec-1915-4d86-bf02-499b30ee228c"-0000
Q155472	PRX_ID_SPL_SET_ID	"8a0f0791-16e0-4fe8-941b-a73cc89dbafb"	Q155472-PRX_ID_SPL_SET_ID-"8a0f0791-16e0-4fe8-941b-a73cc89dbafb"-0000
Q155472	PRX_ID_SPL_SET_ID	"8a33b17f-ab2d-5672-e053-2995a90a8a94"	Q155472-PRX_ID_SPL_SET_ID-"8a33b17f-ab2d-5672-e053-2995a90a8a94"-0000
Q155472	PRX_ID_SPL_SET_ID	"8abca8a1-78e9-1ba4-e053-2a95a90ad26b"	Q155472-PRX_ID_SPL_SET_ID-"8abca8a1-78e9-1ba4-e053-2a95a90ad26b"-0000
Q155472	PRX_ID_SPL_SET_ID	"8b371b95-7f93-9efe-e053-2a95a90a87b0"	Q155472-PRX_ID_SPL_SET_ID-"8b371b95-7f93-9efe-e053-2a95a90a87b0"-0000
Q155472	PRX_ID_SPL_SET_ID	"8dd697b1-e8e1-42aa-b5d0-776de580f700"	Q155472-PRX_ID_SPL_SET_ID-"8dd697b1-e8e1-42aa-b5d0-776de580f700"-0000
Q155472	PRX_ID_SPL_SET_ID	"8e4382de-df78-4821-b11e-c423442a7ff8"	Q155472-PRX_ID_SPL_SET_ID-"8e4382de-df78-4821-b11e-c423442a7ff8"-0000
Q155472	PRX_ID_SPL_SET_ID	"93b82a9f-dc0a-4f7d-b0d4-4adf0d917b7e"	Q155472-PRX_ID_SPL_SET_ID-"93b82a9f-dc0a-4f7d-b0d4-4adf0d917b7e"-0000
Q155472	PRX_ID_SPL_SET_ID	"93d51dc5-e3ef-4d19-acd1-b3b61ea2f28f"	Q155472-PRX_ID_SPL_SET_ID-"93d51dc5-e3ef-4d19-acd1-b3b61ea2f28f"-0000
Q155472	PRX_ID_SPL_SET_ID	"9402b022-5809-4251-dfef-54f6ef5723fe"	Q155472-PRX_ID_SPL_SET_ID-"9402b022-5809-4251-dfef-54f6ef5723fe"-0000
Q155472	PRX_ID_SPL_SET_ID	"94658ed5-cb3b-7b19-e053-2a95a90a63fc"	Q155472-PRX_ID_SPL_SET_ID-"94658ed5-cb3b-7b19-e053-2a95a90a63fc"-0000
Q155472	PRX_ID_SPL_SET_ID	"946692f5-0fe2-89b7-e053-2995a90a4d91"	Q155472-PRX_ID_SPL_SET_ID-"946692f5-0fe2-89b7-e053-2995a90a4d91"-0000
Q155472	PRX_ID_SPL_SET_ID	"946712b3-9c45-58fa-e053-2a95a90a9818"	Q155472-PRX_ID_SPL_SET_ID-"946712b3-9c45-58fa-e053-2a95a90a9818"-0000
Q155472	PRX_ID_SPL_SET_ID	"947c5180-d38e-4d21-e053-2a95a90aaf75"	Q155472-PRX_ID_SPL_SET_ID-"947c5180-d38e-4d21-e053-2a95a90aaf75"-0000
Q155472	PRX_ID_SPL_SET_ID	"973973a3-9fec-4afc-910f-187f099dfe2d"	Q155472-PRX_ID_SPL_SET_ID-"973973a3-9fec-4afc-910f-187f099dfe2d"-0000
Q155472	PRX_ID_SPL_SET_ID	"9e70df98-38fe-4634-a49c-c5f0b562e0b7"	Q155472-PRX_ID_SPL_SET_ID-"9e70df98-38fe-4634-a49c-c5f0b562e0b7"-0000
Q155472	PRX_ID_SPL_SET_ID	"9ea4336c-6450-419e-8185-0072c07bba76"	Q155472-PRX_ID_SPL_SET_ID-"9ea4336c-6450-419e-8185-0072c07bba76"-0000
Q155472	PRX_ID_SPL_SET_ID	"9eb9d98e-7057-4ca0-91ab-2030bc0120a6"	Q155472-PRX_ID_SPL_SET_ID-"9eb9d98e-7057-4ca0-91ab-2030bc0120a6"-0000
Q155472	PRX_ID_SPL_SET_ID	"a06ee3c1-bd0d-4dda-a453-1655eebffdae"	Q155472-PRX_ID_SPL_SET_ID-"a06ee3c1-bd0d-4dda-a453-1655eebffdae"-0000
Q155472	PRX_ID_SPL_SET_ID	"a81a72dd-e828-4208-af9b-bb9ac4938537"	Q155472-PRX_ID_SPL_SET_ID-"a81a72dd-e828-4208-af9b-bb9ac4938537"-0000
